created_date,author,file
2011-11-19T20:30:58Z,13699,LexiconReader.c
2011-11-19T20:30:58Z,13699,PolyReader.c
2011-11-19T20:30:58Z,13699,BBSortEx.c
2011-11-20T16:51:56Z,13699,Build.pm
2011-11-20T16:51:56Z,13699,utf8proc_data.c
2011-11-20T16:51:56Z,13699,utf8proc.c
2011-11-20T16:51:56Z,13699,utf8proc.h
2011-11-25T11:54:43Z,13699,ClusterSearcher.pm
2011-11-25T11:54:43Z,13699,SearchClient.pm
2011-11-25T11:54:43Z,13699,SearchServer.pm
2011-11-26T09:56:31Z,13699,SearchServer.pm
2011-11-26T13:35:22Z,13699,Clownfish.xs
2011-11-26T13:35:22Z,13699,CFCClass.c
2011-11-26T13:35:22Z,13699,CFCFile.c
2011-11-26T13:35:22Z,13699,CFCPerlConstructor.c
2011-11-26T13:41:15Z,13699,Build.pm
2011-11-26T13:42:26Z,13699,CFCLexHeader.c
2011-11-26T13:42:26Z,13699,CFCLexHeader.h
2011-11-26T13:52:43Z,13699,CFCLexHeader.l
2011-11-26T13:56:17Z,13699,CFCLexHeader.c
2011-11-26T13:56:17Z,13699,CFCLexHeader.h
2011-11-26T15:26:58Z,13699,CFCLexHeader.c
2011-11-26T15:26:58Z,13699,CFCLexHeader.h
2011-11-26T15:26:58Z,13699,CFCLexHeader.l
2011-11-26T15:26:58Z,13699,CFCParser.c
2011-11-26T15:26:58Z,13699,CFCParser.h
2011-11-26T15:30:10Z,13699,CFCParser.c
2011-11-26T15:30:10Z,13699,CFCPerlConstructor.c
2011-11-26T15:30:10Z,13699,CFCPerlPod.c
2011-11-26T16:03:55Z,13699,utf8proc.c
2011-11-26T16:03:55Z,13699,utf8proc.h
2011-11-26T16:05:35Z,13699,RangeQuery.c
2011-11-26T16:05:35Z,13699,TestStringHelper.c
2011-11-26T16:07:00Z,13699,Makefile.MSVC
2011-11-26T16:07:00Z,13699,Build.pm
2011-11-26T16:07:00Z,13699,gen_charmonizer_makefiles.pl
2011-11-26T16:07:00Z,13699,Build.pm
2011-11-26T18:15:38Z,13699,Indexer.c
2011-11-27T09:07:25Z,13699,ClusterSearcher.pm
2011-11-27T09:07:25Z,13699,550-cluster_searcher.t
2011-11-29T14:43:12Z,13699,Build.pm
2011-11-30T12:39:29Z,24076,Normalizer.c
2011-11-30T12:39:29Z,24076,Normalizer.cfh
2011-11-30T12:39:29Z,24076,TestNormalizer.c
2011-11-30T12:39:29Z,24076,TestNormalizer.cfh
2011-11-30T12:39:29Z,24076,Normalizer.pm
2011-11-30T12:39:29Z,24076,Test.pm
2011-11-30T12:39:29Z,24076,157-normalizer.t
2011-11-30T12:39:29Z,24076,157-normalizer.t
2011-12-01T06:56:06Z,24076,Normalizer.c
2011-12-01T22:41:24Z,24077,RichPosting.c
2011-12-01T22:41:24Z,24077,TermVector.c
2011-12-01T22:41:24Z,24077,VArray.c
2011-12-02T23:34:57Z,24077,IndexManager.c
2011-12-02T23:34:57Z,24077,Inverter.c
2011-12-02T23:34:57Z,24077,PolyLexicon.c
2011-12-02T23:34:57Z,24077,ScorePosting.c
2011-12-02T23:34:57Z,24077,PostingPool.c
2011-12-02T23:34:57Z,24077,SegWriter.c
2011-12-02T23:34:57Z,24077,Schema.c
2011-12-02T23:34:57Z,24077,SortCollector.c
2011-12-02T23:34:57Z,24077,IndexSearcher.c
2011-12-02T23:34:57Z,24077,ORMatcher.c
2011-12-02T23:34:57Z,24077,ORQuery.c
2011-12-02T23:34:57Z,24077,PhraseQuery.c
2011-12-02T23:34:57Z,24077,PolyQuery.c
2011-12-02T23:34:57Z,24077,PolySearcher.c
2011-12-02T23:34:57Z,24077,QueryParser.c
2011-12-02T23:34:57Z,24077,SortSpec.c
2011-12-05T12:55:04Z,24076,WordBreak.tab
2011-12-05T12:55:04Z,24076,UnicodeTable.pm
2011-12-05T12:55:04Z,24076,gen_word_break_tables.pl
2011-12-05T12:58:04Z,24076,StandardTokenizer.c
2011-12-05T12:58:04Z,24076,StandardTokenizer.cfh
2011-12-05T13:01:26Z,24076,TestStandardTokenizer.c
2011-12-05T13:01:26Z,24076,TestStandardTokenizer.cfh
2011-12-05T13:01:26Z,24076,Test.pm
2011-12-05T13:01:26Z,24076,158-standard-tokenizer.t
2011-12-05T13:02:02Z,24076,StandardTokenizer.pm
2011-12-05T13:02:02Z,24076,158-standard_tokenizer.t
2011-12-05T13:02:42Z,24076,PolyAnalyzer.c
2011-12-05T13:02:42Z,24076,PolyAnalyzer.cfh
2011-12-05T13:02:42Z,24076,PolyAnalyzer.pm
2011-12-05T16:40:48Z,24076,StandardTokenizer.c
2011-12-05T16:41:20Z,24076,UnicodeTable.pm
2011-12-05T16:41:54Z,24076,StandardTokenizer.c
2011-12-05T16:41:54Z,24076,WordBreak.tab
2011-12-05T16:41:54Z,24076,gen_word_break_tables.pl
2011-12-05T16:42:12Z,24076,TestStandardTokenizer.c
2011-12-06T12:48:23Z,24076,StandardTokenizer.c
2011-12-06T12:48:44Z,24076,gen_word_break_data.pl
2011-12-06T12:56:05Z,24076,TestStandardTokenizer.c
2011-12-06T15:49:22Z,24076,StandardTokenizer.c
2011-12-06T15:49:22Z,24076,WordBreak.tab
2011-12-06T15:49:22Z,24076,gen_word_break_data.pl
2011-12-06T16:35:26Z,24076,WordBreak.tab
2011-12-06T16:35:26Z,24076,UnicodeTable.pm
